No,Restaurant,Rating,Number of Comments,Cuisine,Budget,Locality,URL,Image URL
105,,,,,,Taksim,https://www.zomato.com/istanbul/ist-too-shangri-la-bosphorus-i%CC%87stanbul-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
106,,,,,,Taksim,https://www.zomato.com/istanbul/balat-meze-ayvansaray-istanbul/info,
107,,,,,,Taksim,https://www.zomato.com/istanbul/harbiye-sahne-bar-restaurant-harbiye-istanbul/info,
108,,,,,,Taksim,https://www.zomato.com/istanbul/k%C3%A2fi-meze-akaretler-istanbul/info,
109,,,,,,Taksim,https://www.zomato.com/istanbul/the-globe-hilton-stanbul-bomonti-bomonti/info,
110,,,,,,Taksim,https://www.zomato.com/istanbul/mey-ziyade-fulya-istanbul/info,
111,,,,,,Taksim,https://www.zomato.com/istanbul/ahali-te%C5%9Fvikiye-4-ni%C5%9Fanta%C5%9F%C4%B1-istanbul/info,
112,,,,,,Taksim,https://www.zomato.com/istanbul/madam-despina-ferik%C3%B6y-istanbul/info,
113,,,,,,Taksim,https://www.zomato.com/istanbul/grkan-ef-steakhouse-ni%C5%9Fanta%C5%9F%C4%B1-istanbul/info,
114,,,,,,Taksim,https://www.zomato.com/istanbul/manzara-restaurant-conrad-i%CC%87stanbul-bosphorus-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
115,,,,,,Taksim,https://www.zomato.com/istanbul/bi-bal%C4%B1k-karak%C3%B6y-karak%C3%B6y-istanbul/info,
116,,,,,,Taksim,https://www.zomato.com/istanbul/la-vi%C3%B1a-1-levaz%C4%B1m-istanbul/info,
117,,,,,,Taksim,https://www.zomato.com/istanbul/lobby-lounge-shangri-la-bosphorus-i%CC%87stanbul-be%C5%9Fikta%C5%9F-merkez-istanbul/info,
118,,,,,,Taksim,https://www.zomato.com/istanbul/l%C3%BCsyen-karak%C3%B6y-karak%C3%B6y-istanbul/info,
119,,,,,,Taksim,https://www.zomato.com/istanbul/the-terrace-restaurant-the-president-hotel-beyaz%C4%B1t-istanbul/info,
120,,,,,,Taksim,https://www.zomato.com/istanbul/oasis-restaurant-swissotel-the-bosphorus-ma%C3%A7ka-istanbul/info,
121,,,,,,Taksim,https://www.zomato.com/istanbul/the-wox-sultanahmet-istanbul/info,
122,,,,,,Taksim,https://www.zomato.com/istanbul/terrace-restaurant-bar-double-tree-by-hilton-istanbul-old-town-beyaz%C4%B1t-istanbul/info,
123,,,,,,Taksim,https://www.zomato.com/istanbul/muallim-ocakba%C5%9F%C4%B1-ortak%C3%B6y-merkez-istanbul/info,
124,,,,,,Taksim,https://www.zomato.com/istanbul/barba-vasilis-balat-istanbul/info,
125,,,,,,Taksim,https://www.zomato.com/istanbul/mahkeme-lokantas%C4%B1-6-karak%C3%B6y-istanbul/info,
126,,,,,,Taksim,https://www.zomato.com/istanbul/duble-meze-bar-asmal%C4%B1mescit-istanbul/info,
127,,,,,,Taksim,https://www.zomato.com/istanbul/avlu-ocakba%C5%9F%C4%B1-cihangir-istanbul/info,
128,,,,,,Taksim,https://www.zomato.com/istanbul/ali-ocakba%C5%9F%C4%B1-g%C3%BCm%C3%BC%C5%9Fsuyu-istanbul/info,
129,,,,,,Taksim,https://www.zomato.com/istanbul/azure-the-bosphorus-kabata%C5%9F-istanbul/info,
130,,,,,,Taksim,https://www.zomato.com/istanbul/t%C3%BCnel-buselik-meyhane-si%C5%9Fhane-istanbul/info,
131,,,,,,Taksim,https://www.zomato.com/istanbul/meyhane-rumeli-asmal%C4%B1mescit-istanbul/info,
132,,,,,,Taksim,https://www.zomato.com/istanbul/m%C3%BCkellef-karak%C3%B6y-istanbul/info,
133,,,,,,Taksim,https://www.zomato.com/istanbul/karak%C3%B6y-lokantas%C4%B1-karak%C3%B6y-istanbul/info,
134,,,,,,Taksim,https://www.zomato.com/istanbul/st-regis-brasserie-the-st-regis-istanbul-ni%C5%9Fanta%C5%9F%C4%B1-istanbul/info,
135,,,,,,Taksim,https://www.zomato.com/istanbul/morini-levaz%C4%B1m-istanbul/info,
136,,,,,,Taksim,https://www.zomato.com/istanbul/matbah-ottoman-place-cuisine-sultanahmet-istanbul/info,
